Course,Number,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AAH,1010,1,Survey of Art & Arch History I,38%,43%,12%,2%,1%,0%,0%,5%,"Lauritis, Beth Ann",
AAH,2100,400,Intro to Art and Architecture,36%,29%,14%,4%,0%,0%,0%,18%,"Leblanc, Janet Bever",
AAH,2100,401,Intro to Art and Architecture,25%,25%,25%,7%,7%,0%,0%,11%,"Leblanc, Janet Bever",
AAH,2100,402,Intro to Art and Architecture,46%,19%,19%,8%,4%,0%,0%,4%,"Leblanc, Janet Bever",
AAH,2100,403,Intro to Art and Architecture,44%,44%,4%,0%,0%,0%,0%,7%,"Leblanc, Janet Bever",
AAH,3050,1,Contemp Art History,88%,12%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Fin Acct Concepts,5%,29%,31%,7%,14%,0%,0%,14%,"Maiberger, Philip A",
ACCT,2010,2,Fin Acct Concepts,5%,38%,33%,10%,7%,0%,0%,7%,"Maiberger, Philip A",
ACCT,2010,3,Fin Acct Concepts,17%,17%,24%,14%,8%,0%,0%,20%,"Pearse, Suzanne",
ACCT,2010,4,Fin Acct Concepts,10%,23%,30%,25%,5%,0%,0%,8%,"Pearse, Suzanne",
ACCT,2010,5,Fin Acct Concepts (HON),68%,21%,5%,0%,0%,0%,0%,5%,"Winters, Alan J",H
ACCT,2010,6,Fin Acct Concepts,10%,33%,24%,21%,7%,0%,0%,5%,"Maiberger, Philip A",
ACCT,2010,7,Fin Acct Concepts,24%,29%,27%,5%,10%,0%,0%,5%,"Winters, Alan J",
ACCT,2010,8,Fin Acct Concepts,7%,29%,41%,10%,10%,0%,0%,2%,"Pearse, Suzanne",
ACCT,2010,9,Fin Acct Concepts,2%,36%,26%,17%,12%,0%,0%,7%,"Maiberger, Philip A",
ACCT,2010,10,Fin Acct Concepts,9%,35%,16%,14%,12%,0%,0%,14%,"Winters, Alan J",
ACCT,2010,11,Fin Acct Concepts,4%,21%,27%,17%,8%,0%,0%,23%,"Guffey, The Estate o",
ACCT,2010,12,Fin Acct Concepts,15%,28%,34%,13%,2%,0%,0%,9%,"Guffey, The Estate o",
ACCT,2010,13,Fin Acct Concepts,10%,38%,24%,12%,5%,0%,0%,12%,"Guffey, The Estate o",
ACCT,2010,14,Fin Acct Concepts,11%,34%,25%,4%,8%,0%,0%,17%,"McMillan, Jeffrey J",
ACCT,2020,1,Mgr Acct Concepts,24%,33%,24%,13%,2%,0%,0%,4%,"Philo, Annieka C",
ACCT,2020,2,Mgr Acct Concepts,25%,40%,17%,9%,4%,0%,0%,6%,"Philo, Annieka C",
ACCT,2020,3,Mgr Acct Concepts,12%,41%,18%,14%,4%,0%,0%,12%,"Philo, Annieka C",
ACCT,2020,4,Mgr Acct Concepts,12%,20%,38%,18%,8%,0%,0%,4%,"Philo, Annieka C",
ACCT,2020,6,Mgr Acct Concepts,51%,31%,13%,2%,2%,0%,0%,0%,"Martin, Sarah L",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 1 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,2020,7,Mgr Acct Concepts,13%,24%,16%,13%,7%,0%,0%,27%,"Anderson, Henry K.",
ACCT,2020,8,Managerial Accounting Concepts,20%,30%,50%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,2040,1,Accounting Procedures,50%,21%,12%,2%,6%,0%,0%,10%,"McMillan, Jeffrey J",
ACCT,2040,2,Accounting Procedures,52%,22%,10%,6%,4%,0%,0%,6%,"McMillan, Jeffrey J",
ACCT,3030,1,Cost Accounting,33%,33%,19%,3%,11%,0%,0%,0%,"Widener, Sally Kathr",
ACCT,3030,2,Cost Accounting,19%,38%,19%,11%,3%,0%,0%,11%,"Widener, Sally Kathr",
ACCT,3030,3,Cost Accounting,42%,8%,13%,4%,13%,0%,0%,21%,"Anderson, Henry K.",
ACCT,3030,5,Cost Accounting,45%,21%,11%,5%,8%,0%,0%,11%,"Anderson, Henry K.",H
ACCT,3110,1,Inter Fin Acct I,37%,27%,13%,17%,7%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3110,2,Inter Fin Acct I,25%,42%,22%,0%,0%,0%,0%,11%,"Knause, Terry Daniel",
ACCT,3110,3,Inter Fin Acct I,41%,33%,13%,3%,5%,0%,0%,5%,"Knause, Terry Daniel",
ACCT,3110,5,Inter Fin Acct I,39%,30%,12%,12%,6%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,1,Intermed Financial Acct II,9%,19%,25%,19%,13%,0%,0%,16%,"Schleifer, Lydia Lan",
ACCT,3120,2,Intermed Financial Acct II,16%,45%,16%,13%,8%,0%,0%,3%,"Schleifer, Lydia Lan",
ACCT,3120,3,Intermed Financial Acct II,13%,33%,23%,8%,3%,0%,0%,21%,"Schleifer, Lydia Lan",
ACCT,3120,4,Intermed Financial Acct II,40%,40%,9%,2%,5%,0%,0%,5%,"Anderson, Henry K.",
ACCT,3130,1,Inter Fin Acct III,13%,46%,29%,4%,4%,0%,0%,4%,"Madray, J Russell",
ACCT,3130,2,Inter Fin Acct III,26%,39%,21%,8%,0%,0%,0%,5%,"Madray, J Russell",
ACCT,3130,3,Inter Fin Acct III,40%,33%,23%,5%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3130,5,Inter Fin Acct III,36%,36%,23%,5%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3220,1,Acct Info System,19%,35%,35%,4%,4%,0%,0%,4%,"Harp, Nancy Lee",
ACCT,3220,2,Acct Info System,11%,47%,26%,6%,2%,0%,0%,8%,"Harp, Nancy Lee",
ACCT,4040,2,Individual Taxation,22%,41%,30%,4%,0%,0%,0%,2%,"Hine, John M",
ACCT,4040,3,Individual Taxation,25%,31%,25%,19%,0%,0%,0%,0%,"Hine, John M",
ACCT,4100,1,Budget and Exec Cont,43%,25%,23%,9%,0%,0%,0%,0%,"Kennedy, Frances A",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 2 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,4150,1,Auditing,19%,36%,25%,14%,3%,0%,0%,3%,"Hollingsworth, Carl",
ACCT,4150,2,Auditing,19%,27%,27%,23%,0%,0%,0%,4%,"Hollingsworth, Carl",
ACCT,8510,1,Tax Research,3%,64%,33%,0%,0%,0%,0%,0%,"Dickens, Thomas L",
ACCT,8510,2,Tax Research,14%,74%,11%,0%,0%,0%,0%,0%,"Dickens, Thomas L",
ACCT,8530,1,Adv Acct Problems,54%,41%,3%,0%,3%,0%,0%,0%,"Welton, Ralph E",
ACCT,8530,2,Adv Acct Problems,53%,43%,3%,0%,0%,0%,0%,0%,"Welton, Ralph E",
ACCT,8540,1,Prof Responsibility,94%,6%,0%,0%,0%,0%,0%,0%,"Radtke, Robin R",
ACCT,8630,1,Forensics Analysis,51%,27%,22%,0%,0%,0%,0%,0%,"Irving, James H",
ACCT,8730,1,Intl/Spec Tax Topic,39%,61%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
ACCT,8730,2,Intl/Spec Tax Topic,38%,63%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
AGED,1020,1,Freshman Seminar,88%,12%,0%,0%,0%,0%,0%,0%,"Dobbins, Thomas R",
AGED,2000,1,Agr Appl of Ed Tech,60%,20%,20%,0%,0%,0%,0%,0%,"Long, Robin Elizabet",
AGED,2010,1,Intro to Agric Educ,28%,50%,11%,6%,0%,0%,0%,6%,"Fravel, Philip M",
AGED,2040,1,App Ag Calculations,50%,33%,17%,0%,0%,0%,0%,0%,"Fravel, Philip M",
AGED,3030,1,Ag Ed Mech Tech,50%,38%,13%,0%,0%,0%,0%,0%,"Fravel, Philip M",
AGED,4030,1,Prin Adult/Ext Ed,54%,38%,8%,0%,0%,0%,0%,0%,"Layfield, Kevin D",
AGM,1010,1,Intro Ag Mech & Bus,73%,14%,5%,2%,4%,0%,0%,2%,"Kirk, Kendall R",
AGM,2050,1,Prin of Fabrication,15%,49%,29%,6%,1%,0%,0%,0%,"Massey, Hunter F",
AGM,2060,1,Machinery Mgt,8%,23%,62%,0%,0%,0%,0%,8%,"Massey, Hunter F",
AGM,2190,1,Agribuxiness and Food Systems,9%,57%,26%,4%,0%,0%,0%,4%,"Massey, Hunter F",
AGM,2210,1,Land Measurements,38%,39%,15%,4%,3%,0%,0%,2%,"Privette, Charles V",
AGM,3010,1,Soil Water Conserv,25%,30%,35%,4%,5%,0%,0%,2%,"Sawyer, Calvin B",
AGM,3190,1,Agribusiness Decision Analysis,45%,35%,16%,0%,0%,0%,0%,3%,"Ferreira, Wilder N.",
