Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AAH,1010,1,Survey of Art & Arch Histor,30%,49%,15%,1%,2%,0%,0%,1%,1%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,2050,1,Art History and Theory I,87%,10%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,3050,1,Contemporary Art History,80%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Conc,44%,33%,10%,5%,3%,0%,0%,3%,3%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,2,Financial Accounting Conc,46%,28%,23%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,3,Financial Accounting Conc,25%,40%,18%,8%,5%,0%,0%,3%,0%,0%,0%,0%,"McGuigan, Michael",
,,,,,,,,,,,,,,,,John,
ACCT,2010,4,Financial Accounting Conc,37%,35%,22%,3%,2%,0%,0%,2%,0%,0%,0%,0%,"McGuigan, Michael",
,,,,,,,,,,,,,,,,John,
ACCT,2010,5,Financial Accounting Conc,25%,38%,18%,5%,5%,0%,0%,10%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,6,Financial Accounting Conc,40%,35%,15%,5%,3%,0%,0%,3%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,7,Financial Accounting Conc,23%,15%,31%,19%,8%,0%,0%,4%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,8,Financial Accounting Conc,23%,30%,30%,8%,5%,0%,0%,5%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,9,Financial Accounting Conc,40%,35%,10%,3%,8%,0%,0%,5%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,10,Financial Accounting Conc,32%,27%,24%,8%,3%,0%,0%,5%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,11,Financial Accounting Conc,28%,35%,13%,13%,5%,0%,0%,8%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,12,Financial Accounting Conc,51%,27%,14%,5%,0%,0%,0%,2%,2%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,13,Financial Accounting Conc,21%,45%,19%,9%,0%,0%,0%,7%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,14,Financial Accounting Conc,23%,39%,18%,14%,5%,0%,0%,2%,0%,0%,0%,0%,"Hollingsworth, Carl W",
ACCT,2010,15,Financial Accounting Conc,36%,32%,24%,3%,2%,0%,0%,3%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,16,Financial Accounting Conc,39%,33%,19%,2%,0%,0%,0%,7%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,17,Financial Accounting Conc,15%,26%,33%,15%,5%,0%,0%,5%,0%,0%,0%,0%,"Carver, Brian Todd",
