Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"AAH","1020","1","Survey of Art & Arch Hist II","49%","38%","11%","0%","1%","0%","0%","1%","Lauritis, Beth Ann",""
"AAH","2060","1","Art History and Theory II","86%","14%","0%","0%","0%","0%","0%","0%","Feeser, Andrea V",""
"AAH","2100","1","Intro to Art and Architecture","46%","27%","19%","0%","0%","0%","0%","8%","Leblanc, Janet Bever",""
"AAH","2100","2","Intro to Art and Architecture","39%","32%","21%","7%","0%","0%","0%","0%","Leblanc, Janet Bever",""
"AAH","2100","3","Intro to Art and Architecture","33%","22%","22%","7%","0%","0%","0%","15%","Leblanc, Janet Bever",""
"AAH","2100","4","Intro to Art and Architecture","24%","38%","21%","3%","0%","0%","0%","14%","Leblanc, Janet Bever",""
"ACCT","2010","1","Financial Accounting Concepts","14%","32%","26%","8%","8%","0%","0%","12%","Pearse, Suzanne",""
"ACCT","2010","2","Financial Accounting Concepts","8%","25%","35%","15%","10%","0%","0%","8%","Anderson, Henry K.",""
"ACCT","2010","3","Financial Accounting Concepts","15%","24%","33%","11%","2%","0%","0%","15%","Pearse, Suzanne",""
"ACCT","2010","4","Financial Accounting Concepts","20%","34%","18%","9%","5%","0%","0%","14%","Guffey, The Estate o",""
"ACCT","2010","5","Financial Accounting Concepts","9%","26%","33%","2%","16%","0%","0%","14%","Anderson, Henry K.",""
"ACCT","2010","6","Financial Accounting Concepts","17%","26%","28%","9%","11%","0%","0%","11%","Pearse, Suzanne",""
"ACCT","2010","7","Financial Accounting Concepts","23%","23%","32%","11%","4%","0%","0%","6%","Pearse, Suzanne",""
"ACCT","2010","8","Financial Accounting Concepts","11%","24%","20%","4%","20%","0%","0%","20%","Anderson, Henry K.",""
"ACCT","2010","9","Financial Accounting Concepts","7%","34%","23%","14%","7%","0%","0%","16%","Guffey, The Estate o",""
"ACCT","2010","10","Financial Accounting Concepts","13%","38%","18%","11%","4%","0%","0%","16%","Guffey, The Estate o",""
"ACCT","2010","11","Financial Accounting Concepts","12%","27%","29%","11%","9%","0%","0%","12%","McMillan, Jeffrey J",""
"ACCT","2020","1","Managerial Accounting Concepts","25%","40%","17%","10%","6%","0%","0%","2%","Philo, Annieka C",""
"ACCT","2020","2","Managerial Accounting Concepts","29%","38%","25%","4%","2%","0%","0%","2%","Philo, Annieka C",""
"ACCT","2020","3","Managerial Accounting Concepts","23%","29%","31%","6%","8%","0%","0%","2%","Philo, Annieka C",""
"ACCT","2020","4","Managerial Accounting Concepts","31%","37%","14%","10%","8%","0%","0%","0%","Philo, Annieka C",""
"ACCT","2020","5","Managerial Accounting Concepts","27%","29%","16%","2%","3%","0%","0%","23%","Anderson, Henry K.",""
"ACCT","2020","6","Managerial Accounting Concepts","18%","19%","19%","9%","5%","0%","0%","30%","Anderson, Henry K.",""
"ACCT","2040","1","ACCT 2040: 001","53%","29%","8%","3%","6%","0%","0%","1%","McMillan, Jeffrey J",""
"ACCT","2040","2","ACCT 2040: 002","37%","36%","11%","4%","6%","0%","0%","7%","McMillan, Jeffrey J",""
"ACCT","3030","1","Cost Accounting","26%","37%","20%","3%","6%","0%","0%","9%","Dalton, Derek W.",""
"ACCT","3030","2","Cost Accounting","17%","40%","31%","11%","0%","0%","0%","0%","Dalton, Derek W.",""
"ACCT","3030","3","Cost Accounting","18%","63%","5%","3%","8%","0%","0%","3%","Radtke, Robin R",""
"ACCT","3030","4","Cost Accounting","31%","49%","10%","3%","8%","0%","0%","0%","Radtke, Robin R",""
"ACCT","3110","1","Intermed Financial Acct I","22%","41%","30%","7%","0%","0%","0%","0%","Knause, Terry Daniel",""
"ACCT","3110","2","Intermed Financial Acct I","52%","36%","7%","2%","2%","0%","0%","0%","Knause, Terry Daniel",""
"ACCT","3110","3","Intermed Financial Acct I","55%","24%","19%","0%","0%","0%","0%","2%","Knause, Terry Daniel",""
"ACCT","3110","4","Intermed Financial Acct I","59%","24%","10%","0%","2%","0%","0%","5%","Knause, Terry Daniel",""
"ACCT","3120","1","Intermed Financial Acct II","18%","54%","15%","10%","3%","0%","0%","0%","Madray, J Russell",""
"ACCT","3120","2","Intermed Financial Acct II","30%","46%","19%","3%","0%","0%","0%","3%","Madray, J Russell",""
"ACCT","3120","3","Intermed Financial Acct II","15%","21%","36%","6%","0%","0%","0%","21%","Schleifer, Lydia Lan",""
"ACCT","3120","4","Intermed Financial Acct II","15%","36%","30%","0%","12%","0%","0%","6%","Schleifer, Lydia Lan",""
"ACCT","3130","1","Intermed Financial Acct III","17%","46%","23%","11%","0%","0%","0%","3%","Madray, J Russell",""
"ACCT","3130","2","Intermed Financial Acct III","51%","22%","22%","3%","3%","0%","0%","0%","Madray, J Russell",""
"ACCT","3130","3","Intermed Financial Acct III","33%","19%","37%","7%","4%","0%","0%","0%","Irving, James H",""
"ACCT","3130","4","Intermed Financial Acct III","17%","50%","33%","0%","0%","0%","0%","0%","Irving, James H",""
"ACCT","3220","1","Accounting Information Systems","3%","47%","26%","12%","6%","0%","0%","6%","Maiberger, Philip A",""
