Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"AAH","1020","1","Survey of Art & Arch Hist II","91%","7%","1%","0%","0%","0%","0%","1%","Feeser, Andrea V",""
"AAH","2060","1","Art History and Theory II","90%","7%","0%","0%","0%","0%","0%","3%","Feeser, Andrea V",""
"AAH","6320","1","Twentieth Century Art II","71%","14%","14%","0%","0%","0%","0%","0%","Lauritis, Beth Ann",""
"ACCT","2010","1","Financial Accounting Concepts","19%","30%","32%","6%","9%","0%","0%","4%","Schleifer, Lydia Lan",""
"ACCT","2010","2","Financial Accounting Concepts","35%","39%","14%","3%","8%","0%","0%","1%","Hawk, Holly Rhiannio",""
"ACCT","2010","3","Financial Accounting Concepts","19%","24%","21%","14%","10%","0%","0%","12%","Maiberger, Philip A",""
"ACCT","2010","4","Financial Accounting Concepts","25%","24%","28%","8%","6%","0%","0%","8%","Hawk, Holly Rhiannio",""
"ACCT","2010","5","Financial Accounting Concepts","30%","30%","25%","5%","5%","0%","0%","5%","Schleifer, Lydia Lan",""
"ACCT","2010","6","Financial Accounting Concepts","26%","26%","24%","5%","7%","0%","0%","12%","Schleifer, Lydia Lan",""
"ACCT","2010","7","Financial Accounting Concepts","11%","25%","25%","7%","21%","0%","0%","12%","Smalls, Tonya Dionne",""
"ACCT","2010","8","Financial Accounting Concepts","35%","30%","9%","7%","5%","0%","0%","14%","Prater, Mary Ann M",""
"ACCT","2010","9","Financial Accounting Concepts","15%","27%","31%","7%","2%","0%","0%","18%","Anderson, Henry K.",""
"ACCT","2010","10","Financial Accounting Concepts","27%","32%","2%","7%","5%","0%","0%","27%","Prater, Mary Ann M",""
"ACCT","2010","11","Financial Accounting Concepts","11%","11%","32%","11%","25%","0%","0%","9%","Anderson, Henry K.",""
"ACCT","2010","12","Financial Accounting Concepts","14%","37%","19%","11%","14%","0%","0%","5%","Smalls, Tonya Dionne",""
"ACCT","2010","401","Financial Accounting Concepts","14%","43%","24%","8%","4%","0%","0%","7%","McMillan, Jeffrey J",""
"ACCT","2020","1","Managerial Accounting Concepts","26%","34%","17%","8%","6%","0%","0%","9%","Anderson, Henry K.",""
"ACCT","2020","2","Managerial Accounting Concepts","18%","39%","23%","9%","2%","0%","0%","9%","Anderson, Henry K.",""
"ACCT","2020","3","Managerial Accounting Concepts","37%","24%","18%","6%","8%","0%","0%","6%","Garrett, Jace B",""
"ACCT","2020","4","Managerial Accounting Concepts","31%","31%","19%","8%","5%","0%","0%","6%","Garrett, Jace B",""
"ACCT","2020","5","Managerial Accounting Concepts","32%","29%","19%","14%","0%","0%","0%","7%","Dalton, Derek W.",""
"ACCT","2020","401","Managerial Accounting Concepts","26%","21%","20%","8%","10%","0%","0%","16%","Anderson, Henry K.",""
"ACCT","3030","1","Cost Accounting","22%","59%","10%","0%","2%","0%","0%","8%","Radtke, Robin R",""
"ACCT","3030","2","Cost Accounting","43%","28%","17%","2%","2%","0%","0%","9%","Radtke, Robin R",""
"ACCT","3030","3","Cost Accounting","43%","33%","4%","6%","2%","0%","0%","12%","Radtke, Robin R",""
"ACCT","3030","5","Cost Accounting","15%","23%","23%","8%","8%","0%","0%","23%","Smalls, Tonya Dionne",""
"ACCT","3110","1","Intermediate Financial Acct I","38%","46%","8%","3%","3%","0%","0%","3%","Knause, Terry Daniel",""
"ACCT","3110","2","Intermediate Financial Acct I","6%","12%","24%","15%","15%","0%","0%","29%","Carver, Brian Todd",""
