Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"AAH","1010","1","Survey of Art & Arch History I","35%","46%","15%","1%","2%","0%","0%","1%","Lauritis, Beth Ann",""
"AAH","2050","1","Art History and Theory I","75%","20%","0%","0%","0%","0%","0%","5%","Lauritis, Beth Ann",""
"AAH","3050","1","Contemporary Art History","81%","14%","0%","5%","0%","0%","0%","0%","Upart, Anatole",""
"ACCT","2010","1","Financial Accounting Concepts","43%","29%","10%","4%","4%","0%","0%","10%","Schleifer, Lydia Lancaster Folger",""
"ACCT","2010","2","Financial Accounting Concepts","42%","32%","16%","2%","4%","0%","0%","4%","Schleifer, Lydia Lancaster Folger",""
"ACCT","2010","3","Financial Accounting Concepts","33%","27%","22%","4%","2%","0%","0%","11%","Grant, Julie H",""
"ACCT","2010","4","Financial Accounting Concepts","38%","24%","20%","7%","2%","0%","0%","9%","Grant, Julie H",""
"ACCT","2010","5","Financial Accounting Concepts","50%","35%","10%","0%","0%","0%","0%","4%","Schleifer, Lydia Lancaster Folger",""
"ACCT","2010","6","Financial Accounting Concepts","40%","31%","13%","7%","2%","0%","0%","7%","McGuigan, Michael John",""
"ACCT","2010","7","Financial Accounting Concepts","16%","49%","27%","0%","6%","0%","0%","2%","Hollingsworth, Carl W",""
"ACCT","2010","8","Financial Accounting Concepts","22%","31%","27%","10%","4%","0%","0%","6%","Hollingsworth, Carl W",""
"ACCT","2010","9","Financial Accounting Concepts","11%","39%","30%","7%","7%","0%","0%","7%","McGuigan, Michael John",""
"ACCT","2010","10","Financial Accounting Concepts","37%","33%","14%","6%","4%","0%","0%","6%","Tegen, Charles A",""
"ACCT","2010","11","Financial Accounting Concepts","33%","28%","14%","3%","8%","0%","0%","14%","Birtwistle, Lisa Wheatley",""
"ACCT","2010","12","Financial Accounting Concepts","12%","35%","19%","7%","12%","0%","0%","16%","Birtwistle, Lisa Wheatley",""
"ACCT","2010","13","Financial Accounting Concepts","24%","24%","37%","10%","0%","0%","0%","5%","Birtwistle, Lisa Wheatley",""
"ACCT","2010","14","Financial Accounting Concepts","38%","45%","10%","3%","0%","0%","0%","3%","Philo, Annieka C",""
"ACCT","2010","100","Fin Accounting Concepts (HON)","63%","26%","11%","0%","0%","0%","0%","0%","Prater, Mary Ann M","H"
"ACCT","2010","111","Fin Accounting Concepts (HON)","86%","14%","0%","0%","0%","0%","0%","0%","Birtwistle, Lisa Wheatley","H"
"ACCT","2010","400","Financial Accounting Concepts","14%","22%","21%","10%","7%","0%","0%","26%","McMillan, Jeffrey J",""
"ACCT","2010","401","Financial Accounting Concepts","33%","43%","16%","4%","2%","0%","0%","2%","McCorkle, Emily Suzanne",""
"ACCT","2020","1","Managerial Accounting Concepts","31%","23%","15%","3%","0%","0%","0%","28%","Anderson, Henry K.",""
"ACCT","2020","2","Managerial Accounting Concepts","27%","33%","15%","6%","12%","0%","0%","6%","Anderson, Henry K.",""
"ACCT","2020","3","Managerial Accounting Concepts","18%","46%","23%","0%","3%","0%","0%","10%","Anderson, Henry K.",""
"ACCT","2020","4","Managerial Accounting Concepts","26%","33%","23%","0%","10%","0%","0%","8%","Anderson, Henry K.",""
"ACCT","2020","5","Managerial Accounting Concepts","21%","30%","21%","9%","6%","0%","0%","13%","Carver, Brian Todd",""
"ACCT","2020","6","Managerial Accounting Concepts","17%","15%","37%","9%","4%","0%","0%","17%","Carver, Brian Todd",""
"ACCT","2020","400","Managerial Accounting Concepts","30%","29%","16%","8%","3%","0%","0%","13%","Anderson, Henry K.",""
"ACCT","2020","402","Managerial Accounting Concepts","25%","23%","30%","12%","4%","0%","0%","5%","McCorkle, Emily Suzanne",""
"ACCT","2900","1","Special Topics - Soft Skills","89%","0%","11%","0%","0%","0%","0%","0%","Mendonca, Michael R",""
"ACCT","3030","1","Cost Accounting","38%","36%","21%","0%","3%","0%","0%","3%","Way, Daniel Thomas",""
"ACCT","3030","2","Cost Accounting","25%","39%","31%","3%","0%","0%","0%","3%","Way, Daniel Thomas",""
"ACCT","3030","3","Cost Accounting","32%","43%","14%","3%","5%","0%","0%","3%","Garrett, Jace B",""
"ACCT","3030","4","Cost Accounting","38%","27%","19%","3%","3%","0%","0%","11%","Garrett, Jace B",""
"ACCT","3030","5","Cost Accounting","55%","26%","16%","0%","3%","0%","0%","0%","Martin, Sarah L",""
"ACCT","3110","1","Intermediate Financial Acct I","17%","29%","33%","0%","8%","0%","0%","13%","Philo, Annieka C",""
"ACCT","3110","2","Intermediate Financial Acct I","16%","31%","41%","6%","3%","0%","0%","3%","Donnelly, Amy Melissa",""
"ACCT","3110","3","Intermediate Financial Acct I","17%","39%","11%","11%","11%","0%","0%","11%","Philo, Annieka C",""
"ACCT","3110","4","Intermediate Financial Acct I","19%","32%","39%","3%","3%","0%","0%","3%","Donnelly, Amy Melissa",""
"ACCT","3110","5","Intermediate Financial Acct I","19%","52%","19%","0%","0%","0%","0%","10%","Madray, J Russell",""
"ACCT","3110","6","Intermediate Financial Acct I","16%","29%","26%","6%","6%","0%","0%","16%","Donnelly, Amy Melissa",""
"ACCT","3110","7","Intermediate Financial Acct I","32%","42%","13%","3%","6%","0%","0%","3%","Madray, J Russell",""
"ACCT","3110","8","Intermediate Financial Acct I","11%","26%","26%","11%","21%","0%","0%","5%","Hawkins, Erin Michelle",""
