Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
"AAH","1010","1","Survey of Art & Arch Histor","51%","40%","4%","2%","0%","0%","0%","3%","0%","0%","0%","0%","Lauritis Beth Ann",""
"AAH","2050","1","Art History and Theory I","91%","0%","0%","0%","0%","0%","0%","0%","9%","0%","0%","0%","Lauritis Beth Ann",""
"AAH","3050","1","Contemporary Art History","58%","37%","0%","5%","0%","0%","0%","0%","0%","0%","0%","0%","Feeser Andrea V",""
"ACCT","2010","1","Financial Accounting Conc","36%","38%","20%","2%","2%","0%","0%","2%","0%","0%","0%","0%","Schleifer Lydia",""
"ACCT","2010","2","Financial Accounting Conc","44%","31%","15%","2%","4%","0%","0%","5%","0%","0%","0%","0%","Schleifer Lydia",""
"ACCT","2010","3","Financial Accounting Conc","17%","32%","25%","7%","12%","0%","0%","7%","0%","0%","0%","0%","Wahlman Robert",""
"ACCT","2010","4","Financial Accounting Conc","26%","26%","26%","13%","3%","0%","0%","8%","0%","0%","0%","0%","Tegen Charles A",""
"ACCT","2010","5","Financial Accounting Conc","41%","36%","13%","3%","5%","0%","0%","3%","0%","0%","0%","0%","Tegen Charles A",""
"ACCT","2010","6","Financial Accounting Conc","45%","33%","5%","5%","5%","0%","0%","8%","0%","0%","0%","0%","Grant Julie H",""
"ACCT","2010","7","Financial Accounting Conc","21%","44%","31%","3%","0%","0%","0%","3%","0%","0%","0%","0%","Grant Julie H",""
"ACCT","2010","8","Financial Accounting Conc","51%","33%","7%","7%","0%","0%","0%","2%","0%","0%","0%","0%","Schleifer Lydia",""
"ACCT","2010","9","Financial Accounting Conc","38%","30%","18%","10%","5%","0%","0%","0%","0%","0%","0%","0%","Grant Julie H",""
"ACCT","2010","10","Financial Accounting Conc","50%","20%","23%","8%","0%","0%","0%","0%","0%","0%","0%","0%","Grant Julie H",""
"ACCT","2010","11","Financial Accounting Conc","35%","31%","21%","4%","8%","0%","0%","0%","0%","0%","0%","0%","Birtwistle Lisa",""
"ACCT","2010","12","Financial Accounting Conc","28%","39%","25%","0%","3%","0%","0%","3%","3%","0%","0%","0%","Birtwistle Lisa",""
"ACCT","2010","13","Financial Accounting Conc","34%","39%","13%","3%","5%","0%","0%","5%","0%","0%","0%","0%","Birtwistle Lisa",""
"ACCT","2010","14","Financial Accounting Conc","18%","32%","28%","10%","0%","0%","0%","12%","0%","0%","0%","0%","McMillan Jeffrey J",""
